,顧客ID,登録日,顧客名,メールアドレス,都道府県,市区町村,顧客区分,獲得チャネル,会員ランク,有効会員フラグ,年収帯,注文ID,顧客ID(注文),注文日,注文ステータス,販売チャネル,支払方法,配送先都道府県,クーポンコード,小計金額,割引金額,送料,合計金額
195,C00090,2025-12-10,田中 樹,customer00090@example.jp,北海道,函館市,中小企業,提携先,シルバー,有,500～800万円,O000675,C00090,2024-06-08,配達完了,ウェブ,請求書払い,北海道,SPRING15,1357.9,203.69,0.0,1154.21
196,C00091,2024-09-26,佐藤 さくら,customer00091@example.jp,愛知県,岡崎市,中小企業,自然検索,ブロンズ,有,"1,200万円以上",O000475,C00091,2025-09-20,配達完了,ウェブ,スマホ決済,愛知県,,207.87,0.0,0.0,207.87
197,C00092,2022-05-31,高橋 陽葵,customer00092@example.jp,愛知県,岡崎市,個人,広告検索,ブロンズ,有,300～500万円,O000369,C00092,2025-03-29,キャンセル,ウェブ,銀行振込,愛知県,SPRING15,937.17,140.58,0.0,796.59
198,C00092,2022-05-31,高橋 陽葵,customer00092@example.jp,愛知県,岡崎市,個人,広告検索,ブロンズ,有,300～500万円,O000504,C00092,2025-04-13,発送済み,モバイルアプリ,コンビニ払い,愛知県,SPRING15,546.53,81.98,0.0,464.55
199,C00093,2023-02-27,佐藤 さくら,customer00093@example.jp,東京都,世田谷区,個人,紹介,ゴールド,無,"800～1,200万円",,,,,,,,,,,,
200,C00094,2025-06-27,佐藤 蓮,customer00094@example.jp,愛知県,名古屋市,中小企業,広告検索,ゴールド,有,300～500万円,O000206,C00094,2025-10-25,キャンセル,ウェブ,コンビニ払い,愛知県,SPRING15,1398.68,209.8,0.0,1188.88
201,C00095,2022-12-25,田中 陽葵,customer00095@example.jp,福岡県,福岡市,個人,提携先,ゴールド,有,"800～1,200万円",O000040,C00095,2025-02-14,処理中,モール,コンビニ払い,福岡県,B2B5,190.69,9.53,0.0,181.16
202,C00095,2022-12-25,田中 陽葵,customer00095@example.jp,福岡県,福岡市,個人,提携先,ゴールド,有,"800～1,200万円",O000054,C00095,2024-10-06,配達完了,モバイルアプリ,クレジットカード,福岡県,,371.84,0.0,0.0,371.84
203,C00095,2022-12-25,田中 陽葵,customer00095@example.jp,福岡県,福岡市,個人,提携先,ゴールド,有,"800～1,200万円",O000643,C00095,2025-09-02,返品済み,モバイルアプリ,請求書払い,福岡県,,962.93,0.0,0.0,962.93
204,C00095,2022-12-25,田中 陽葵,customer00095@example.jp,福岡県,福岡市,個人,提携先,ゴールド,有,"800～1,200万円",O000682,C00095,2025-11-10,配達完了,モバイルアプリ,請求書払い,福岡県,,329.42,0.0,0.0,329.42
205,C00096,2023-04-27,高橋 葵,customer00096@example.jp,福岡県,福岡市,中小企業,店頭,ブロンズ,有,"1,200万円以上",O000350,C00096,2025-07-22,配達完了,モール,クレジットカード,福岡県,,1049.84,0.0,0.0,1049.84
206,C00097,2025-01-19,高橋 陽葵,customer00097@example.jp,大阪府,吹田市,個人,自然検索,ブロンズ,有,300万円未満,O000291,C00097,2025-06-05,配達完了,ウェブ,クレジットカード,大阪府,,119.67,0.0,5.9,125.57
207,C00097,2025-01-19,高橋 陽葵,customer00097@example.jp,大阪府,吹田市,個人,自然検索,ブロンズ,有,300万円未満,O000461,C00097,2024-06-14,処理中,ウェブ,クレジットカード,大阪府,,822.41,0.0,0.0,822.41
208,C00098,2025-03-06,高橋 結菜,customer00098@example.jp,大阪府,堺市,個人,広告検索,ブロンズ,有,300～500万円,O000074,C00098,2025-03-03,配達完了,ウェブ,銀行振込,大阪府,VIP20,294.73,58.95,0.0,235.78
209,C00098,2025-03-06,高橋 結菜,customer00098@example.jp,大阪府,堺市,個人,広告検索,ブロンズ,有,300～500万円,O000313,C00098,2025-11-09,配達完了,ウェブ,クレジットカード,大阪府,,765.84,0.0,0.0,765.84
210,C00098,2025-03-06,高橋 結菜,customer00098@example.jp,大阪府,堺市,個人,広告検索,ブロンズ,有,300～500万円,O000635,C00098,2025-09-02,発送済み,モール,クレジットカード,大阪府,,1435.83,0.0,0.0,1435.83
211,C00099,2023-10-21,田中 結菜,customer00099@example.jp,愛知県,豊田市,個人,提携先,ゴールド,有,500～800万円,O000296,C00099,2025-05-13,発送済み,モバイルアプリ,スマホ決済,愛知県,,802.92,0.0,0.0,802.92
212,C00099,2023-10-21,田中 結菜,customer00099@example.jp,愛知県,豊田市,個人,提携先,ゴールド,有,500～800万円,O000568,C00099,2024-02-29,処理中,ウェブ,クレジットカード,愛知県,,384.9,0.0,0.0,384.9
213,C00100,2024-11-02,鈴木 凛,customer00100@example.jp,愛知県,豊田市,大企業,広告検索,ゴールド,有,500～800万円,O000290,C00100,2024-04-28,配達完了,ウェブ,請求書払い,愛知県,FREESHIP,1226.51,0.0,0.0,1226.51
214,C00100,2024-11-02,鈴木 凛,customer00100@example.jp,愛知県,豊田市,大企業,広告検索,ゴールド,有,500～800万円,O000705,C00100,2024-11-14,配達完了,営業担当,クレジットカード,愛知県,WELCOME10,967.95,96.8,0.0,871.15
215,C00101,2024-05-19,中村 凛,customer00101@example.jp,福岡県,北九州市,個人,広告検索,ブロンズ,有,500～800万円,O000145,C00101,2025-11-21,配達完了,ウェブ,スマホ決済,福岡県,,239.38,0.0,0.0,239.38
216,C00102,2023-10-18,渡辺 陽翔,customer00102@example.jp,千葉県,千葉市,個人,広告検索,シルバー,有,"800～1,200万円",O000565,C00102,2025-07-16,配達完了,ウェブ,コンビニ払い,千葉県,,1282.23,0.0,0.0,1282.23
217,C00103,2025-02-08,中村 蓮,customer00103@example.jp,大阪府,吹田市,個人,紹介,ブロンズ,有,"1,200万円以上",,,,,,,,,,,,
218,C00104,2022-02-28,佐藤 悠真,customer00104@example.jp,愛知県,名古屋市,大企業,自然検索,シルバー,有,"800～1,200万円",O000511,C00104,2024-08-06,配達完了,モバイルアプリ,コンビニ払い,愛知県,,469.63,0.0,0.0,469.63
219,C00104,2022-02-28,佐藤 悠真,customer00104@example.jp,愛知県,名古屋市,大企業,自然検索,シルバー,有,"800～1,200万円",O000538,C00104,2024-01-09,配達完了,営業担当,クレジットカード,愛知県,,704.63,0.0,0.0,704.63
220,C00105,2022-02-03,佐藤 悠真,customer00105@example.jp,福岡県,福岡市,中小企業,提携先,ブロンズ,有,300万円未満,O000244,C00105,2025-11-14,配達完了,ウェブ,コンビニ払い,福岡県,WELCOME10,336.94,33.69,0.0,303.25
221,C00105,2022-02-03,佐藤 悠真,customer00105@example.jp,福岡県,福岡市,中小企業,提携先,ブロンズ,有,300万円未満,O000256,C00105,2024-07-05,配達完了,営業担当,銀行振込,福岡県,SPRING15,1049.33,157.4,0.0,891.93
222,C00106,2023-06-25,渡辺 葵,customer00106@example.jp,神奈川県,横浜市,中小企業,広告検索,シルバー,有,300～500万円,O000712,C00106,2024-04-20,配達完了,ウェブ,スマホ決済,神奈川県,B2B5,1215.63,60.78,0.0,1154.85
223,C00107,2022-07-03,中村 悠真,customer00107@example.jp,北海道,函館市,個人,提携先,ブロンズ,有,"800～1,200万円",O000307,C00107,2024-09-05,配達完了,ウェブ,クレジットカード,北海道,FREESHIP,278.47,0.0,0.0,278.47
224,C00107,2022-07-03,中村 悠真,customer00107@example.jp,北海道,函館市,個人,提携先,ブロンズ,有,"800～1,200万円",O000410,C00107,2024-01-15,配達完了,モバイルアプリ,請求書払い,北海道,,118.91,0.0,5.9,124.81
225,C00107,2022-07-03,中村 悠真,customer00107@example.jp,北海道,函館市,個人,提携先,ブロンズ,有,"800～1,200万円",O000545,C00107,2024-05-23,配達完了,ウェブ,スマホ決済,北海道,,1366.8,0.0,0.0,1366.8
226,C00107,2022-07-03,中村 悠真,customer00107@example.jp,北海道,函館市,個人,提携先,ブロンズ,有,"800～1,200万円",O000707,C00107,2024-09-04,発送済み,モール,コンビニ払い,北海道,WELCOME10,787.14,78.71,0.0,708.43
227,C00108,2022-05-25,伊藤 樹,customer00108@example.jp,東京都,世田谷区,個人,自然検索,プラチナ,有,500～800万円,O000148,C00108,2024-06-05,配達完了,モール,銀行振込,東京都,SPRING15,257.03,38.55,0.0,218.48
228,C00108,2022-05-25,伊藤 樹,customer00108@example.jp,東京都,世田谷区,個人,自然検索,プラチナ,有,500～800万円,O000259,C00108,2024-07-12,配達完了,モール,クレジットカード,東京都,,1300.38,0.0,0.0,1300.38
229,C00108,2022-05-25,伊藤 樹,customer00108@example.jp,東京都,世田谷区,個人,自然検索,プラチナ,有,500～800万円,O000286,C00108,2025-09-22,配達完了,ウェブ,コンビニ払い,東京都,,506.68,0.0,0.0,506.68
230,C00109,2025-07-29,渡辺 陽葵,customer00109@example.jp,大阪府,大阪市,個人,店頭,ブロンズ,有,500～800万円,O000539,C00109,2025-01-04,配達完了,ウェブ,クレジットカード,大阪府,,908.14,0.0,0.0,908.14
231,C00110,2025-03-28,佐藤 葵,customer00110@example.jp,東京都,新宿区,個人,SNS,シルバー,有,500～800万円,,,,,,,,,,,,
232,C00111,2022-06-28,山本 葵,customer00111@example.jp,東京都,千代田区,大企業,自然検索,シルバー,有,300～500万円,O000099,C00111,2025-02-18,キャンセル,モバイルアプリ,請求書払い,東京都,,747.56,0.0,0.0,747.56
233,C00111,2022-06-28,山本 葵,customer00111@example.jp,東京都,千代田区,大企業,自然検索,シルバー,有,300～500万円,O000105,C00111,2025-12-14,配達完了,モバイルアプリ,クレジットカード,東京都,,988.32,0.0,0.0,988.32
234,C00111,2022-06-28,山本 葵,customer00111@example.jp,東京都,千代田区,大企業,自然検索,シルバー,有,300～500万円,O000370,C00111,2024-12-09,配達完了,モバイルアプリ,クレジットカード,東京都,FREESHIP,1272.46,0.0,0.0,1272.46
235,C00111,2022-06-28,山本 葵,customer00111@example.jp,東京都,千代田区,大企業,自然検索,シルバー,有,300～500万円,O000457,C00111,2025-02-04,発送済み,ウェブ,スマホ決済,東京都,,1038.45,0.0,0.0,1038.45
236,C00111,2022-06-28,山本 葵,customer00111@example.jp,東京都,千代田区,大企業,自然検索,シルバー,有,300～500万円,O000690,C00111,2024-11-21,配達完了,モール,クレジットカード,東京都,,1393.18,0.0,0.0,1393.18
237,C00112,2024-04-16,高橋 大和,customer00112@example.jp,東京都,新宿区,個人,SNS,ゴールド,有,500～800万円,O000194,C00112,2024-12-02,配達完了,ウェブ,クレジットカード,東京都,WELCOME10,212.41,21.24,0.0,191.17
238,C00112,2024-04-16,高橋 大和,customer00112@example.jp,東京都,新宿区,個人,SNS,ゴールド,有,500～800万円,O000358,C00112,2024-02-06,配達完了,営業担当,スマホ決済,東京都,WELCOME10,1169.86,116.99,0.0,1052.87
239,C00113,2024-05-13,佐藤 陽葵,customer00113@example.jp,大阪府,吹田市,個人,自然検索,ブロンズ,無,300～500万円,,,,,,,,,,,,
240,C00114,2022-03-26,鈴木 芽依,customer00114@example.jp,北海道,札幌市,大企業,自然検索,シルバー,有,300～500万円,O000402,C00114,2024-02-28,返品済み,ウェブ,コンビニ払い,北海道,,940.76,0.0,0.0,940.76
241,C00114,2022-03-26,鈴木 芽依,customer00114@example.jp,北海道,札幌市,大企業,自然検索,シルバー,有,300～500万円,O000621,C00114,2025-09-29,配達完了,モバイルアプリ,クレジットカード,北海道,VIP20,653.2,130.64,0.0,522.56
242,C00114,2022-03-26,鈴木 芽依,customer00114@example.jp,北海道,札幌市,大企業,自然検索,シルバー,有,300～500万円,O000677,C00114,2025-01-29,配達完了,モバイルアプリ,クレジットカード,北海道,B2B5,1222.41,61.12,0.0,1161.29
243,C00115,2023-07-08,高橋 結菜,customer00115@example.jp,北海道,札幌市,中小企業,自然検索,ゴールド,無,300～500万円,,,,,,,,,,,,
244,C00116,2024-09-19,鈴木 湊,customer00116@example.jp,北海道,函館市,大企業,紹介,ブロンズ,無,300万円未満,,,,,,,,,,,,
245,C00117,2025-11-26,田中 湊,customer00117@example.jp,福岡県,久留米市,中小企業,自然検索,ゴールド,有,300～500万円,O000166,C00117,2025-03-24,配達完了,モール,クレジットカード,福岡県,,1262.05,0.0,0.0,1262.05
246,C00117,2025-11-26,田中 湊,customer00117@example.jp,福岡県,久留米市,中小企業,自然検索,ゴールド,有,300～500万円,O000450,C00117,2025-12-13,返品済み,ウェブ,クレジットカード,福岡県,,1371.02,0.0,0.0,1371.02
247,C00117,2025-11-26,田中 湊,customer00117@example.jp,福岡県,久留米市,中小企業,自然検索,ゴールド,有,300～500万円,O000452,C00117,2024-04-14,配達完了,モバイルアプリ,スマホ決済,福岡県,,409.91,0.0,0.0,409.91
248,C00117,2025-11-26,田中 湊,customer00117@example.jp,福岡県,久留米市,中小企業,自然検索,ゴールド,有,300～500万円,O000642,C00117,2024-07-31,発送済み,ウェブ,コンビニ払い,福岡県,B2B5,1051.8,52.59,0.0,999.21
249,C00118,2024-02-04,山本 樹,customer00118@example.jp,東京都,千代田区,個人,自然検索,シルバー,有,"1,200万円以上",O000599,C00118,2025-07-23,配達完了,ウェブ,銀行振込,東京都,,493.26,0.0,0.0,493.26
250,C00119,2024-06-24,田中 さくら,customer00119@example.jp,北海道,札幌市,大企業,SNS,ブロンズ,有,"800～1,200万円",O000306,C00119,2025-12-26,キャンセル,ウェブ,銀行振込,北海道,,667.46,0.0,0.0,667.46
251,C00120,2022-01-03,山本 陽翔,customer00120@example.jp,福岡県,北九州市,中小企業,広告検索,ブロンズ,有,500～800万円,O000627,C00120,2025-04-18,発送済み,ウェブ,クレジットカード,福岡県,,1013.56,0.0,0.0,1013.56
252,C00120,2022-01-03,山本 陽翔,customer00120@example.jp,福岡県,北九州市,中小企業,広告検索,ブロンズ,有,500～800万円,O000701,C00120,2024-10-10,発送済み,営業担当,クレジットカード,福岡県,,1424.42,0.0,0.0,1424.42
253,C00121,2023-02-21,渡辺 凛,customer00121@example.jp,北海道,札幌市,個人,自然検索,ブロンズ,有,"800～1,200万円",O000540,C00121,2025-12-23,配達完了,営業担当,スマホ決済,北海道,,1037.63,0.0,0.0,1037.63
254,C00122,2025-02-28,渡辺 結菜,customer00122@example.jp,大阪府,豊中市,個人,店頭,ブロンズ,有,"1,200万円以上",O000178,C00122,2024-11-23,配達完了,ウェブ,クレジットカード,大阪府,,112.81,0.0,5.9,118.71
255,C00123,2022-03-22,中村 芽依,customer00123@example.jp,東京都,千代田区,個人,紹介,ブロンズ,有,500～800万円,O000101,C00123,2025-08-30,発送済み,ウェブ,クレジットカード,東京都,,667.61,0.0,0.0,667.61
256,C00123,2022-03-22,中村 芽依,customer00123@example.jp,東京都,千代田区,個人,紹介,ブロンズ,有,500～800万円,O000111,C00123,2024-10-15,配達完了,営業担当,スマホ決済,東京都,WELCOME10,1322.64,132.26,0.0,1190.38
257,C00124,2025-10-20,佐藤 凛,customer00124@example.jp,千葉県,千葉市,個人,提携先,プラチナ,有,300～500万円,O000714,C00124,2024-05-02,返品済み,モール,クレジットカード,千葉県,,1196.11,0.0,0.0,1196.11
258,C00125,2025-09-02,高橋 結菜,customer00125@example.jp,愛知県,岡崎市,個人,自然検索,ゴールド,有,300～500万円,O000001,C00125,2025-10-16,配達完了,ウェブ,クレジットカード,愛知県,,27.42,0.0,5.9,33.32
259,C00125,2025-09-02,高橋 結菜,customer00125@example.jp,愛知県,岡崎市,個人,自然検索,ゴールド,有,300～500万円,O000213,C00125,2025-05-17,配達完了,モール,銀行振込,愛知県,B2B5,650.32,32.52,0.0,617.8
260,C00125,2025-09-02,高橋 結菜,customer00125@example.jp,愛知県,岡崎市,個人,自然検索,ゴールド,有,300～500万円,O000269,C00125,2025-03-27,配達完了,モール,銀行振込,愛知県,FREESHIP,399.57,0.0,0.0,399.57
261,C00126,2022-02-24,鈴木 芽依,customer00126@example.jp,神奈川県,相模原市,個人,紹介,ゴールド,有,300万円未満,O000496,C00126,2024-11-26,配達完了,ウェブ,コンビニ払い,神奈川県,FREESHIP,350.92,0.0,0.0,350.92
262,C00126,2022-02-24,鈴木 芽依,customer00126@example.jp,神奈川県,相模原市,個人,紹介,ゴールド,有,300万円未満,O000558,C00126,2025-10-20,配達完了,モバイルアプリ,クレジットカード,神奈川県,,577.07,0.0,0.0,577.07
263,C00126,2022-02-24,鈴木 芽依,customer00126@example.jp,神奈川県,相模原市,個人,紹介,ゴールド,有,300万円未満,O000659,C00126,2025-07-14,配達完了,ウェブ,銀行振込,神奈川県,WELCOME10,1306.56,130.66,0.0,1175.9
264,C00127,2022-10-02,田中 さくら,customer00127@example.jp,東京都,千代田区,大企業,提携先,ブロンズ,有,"800～1,200万円",O000580,C00127,2025-02-22,配達完了,ウェブ,クレジットカード,東京都,,832.21,0.0,0.0,832.21
265,C00128,2025-02-12,渡辺 さくら,customer00128@example.jp,東京都,新宿区,中小企業,紹介,プラチナ,有,500～800万円,O000065,C00128,2024-04-05,配達完了,営業担当,銀行振込,東京都,,1211.21,0.0,0.0,1211.21
266,C00128,2025-02-12,渡辺 さくら,customer00128@example.jp,東京都,新宿区,中小企業,紹介,プラチナ,有,500～800万円,O000149,C00128,2025-02-28,配達完了,モバイルアプリ,クレジットカード,東京都,,955.76,0.0,0.0,955.76
267,C00128,2025-02-12,渡辺 さくら,customer00128@example.jp,東京都,新宿区,中小企業,紹介,プラチナ,有,500～800万円,O000588,C00128,2025-10-10,配達完了,ウェブ,銀行振込,東京都,WELCOME10,551.87,55.19,0.0,496.68
268,C00129,2023-07-12,渡辺 樹,customer00129@example.jp,大阪府,豊中市,中小企業,SNS,ブロンズ,有,500～800万円,O000623,C00129,2025-01-29,処理中,モバイルアプリ,銀行振込,大阪府,SPRING15,676.16,101.42,0.0,574.74
269,C00129,2023-07-12,渡辺 樹,customer00129@example.jp,大阪府,豊中市,中小企業,SNS,ブロンズ,有,500～800万円,O000700,C00129,2025-06-12,配達完了,ウェブ,クレジットカード,大阪府,FREESHIP,961.61,0.0,0.0,961.61
270,C00129,2023-07-12,渡辺 樹,customer00129@example.jp,大阪府,豊中市,中小企業,SNS,ブロンズ,有,500～800万円,O000709,C00129,2024-08-07,処理中,モバイルアプリ,クレジットカード,大阪府,SPRING15,1374.27,206.14,0.0,1168.13
271,C00130,2022-03-08,伊藤 陽翔,customer00130@example.jp,北海道,旭川市,個人,店頭,ブロンズ,有,500～800万円,O000036,C00130,2025-01-15,配達完了,営業担当,クレジットカード,北海道,,376.87,0.0,0.0,376.87
272,C00130,2022-03-08,伊藤 陽翔,customer00130@example.jp,北海道,旭川市,個人,店頭,ブロンズ,有,500～800万円,O000172,C00130,2024-03-30,配達完了,モバイルアプリ,クレジットカード,北海道,,968.51,0.0,0.0,968.51
273,C00130,2022-03-08,伊藤 陽翔,customer00130@example.jp,北海道,旭川市,個人,店頭,ブロンズ,有,500～800万円,O000440,C00130,2024-04-22,配達完了,モバイルアプリ,請求書払い,北海道,B2B5,974.57,48.73,0.0,925.84
274,C00131,2025-02-26,鈴木 陽葵,customer00131@example.jp,北海道,函館市,個人,紹介,ブロンズ,有,"800～1,200万円",O000072,C00131,2025-12-29,配達完了,ウェブ,銀行振込,北海道,,1012.1,0.0,0.0,1012.1
275,C00131,2025-02-26,鈴木 陽葵,customer00131@example.jp,北海道,函館市,個人,紹介,ブロンズ,有,"800～1,200万円",O000395,C00131,2025-03-03,配達完了,ウェブ,銀行振込,北海道,FREESHIP,874.13,0.0,0.0,874.13
276,C00131,2025-02-26,鈴木 陽葵,customer00131@example.jp,北海道,函館市,個人,紹介,ブロンズ,有,"800～1,200万円",O000428,C00131,2024-06-29,配達完了,ウェブ,スマホ決済,北海道,,1204.44,0.0,0.0,1204.44
277,C00132,2023-08-04,佐藤 蓮,customer00132@example.jp,神奈川県,川崎市,中小企業,広告検索,ブロンズ,有,"1,200万円以上",O000153,C00132,2025-07-14,配達完了,モール,クレジットカード,神奈川県,,1406.51,0.0,0.0,1406.51
278,C00132,2023-08-04,佐藤 蓮,customer00132@example.jp,神奈川県,川崎市,中小企業,広告検索,ブロンズ,有,"1,200万円以上",O000156,C00132,2024-01-12,配達完了,モバイルアプリ,スマホ決済,神奈川県,,274.0,0.0,0.0,274.0
279,C00132,2023-08-04,佐藤 蓮,customer00132@example.jp,神奈川県,川崎市,中小企業,広告検索,ブロンズ,有,"1,200万円以上",O000620,C00132,2024-12-07,キャンセル,モバイルアプリ,コンビニ払い,神奈川県,FREESHIP,1091.81,0.0,0.0,1091.81
280,C00133,2025-02-26,田中 結菜,customer00133@example.jp,東京都,世田谷区,中小企業,自然検索,シルバー,有,300～500万円,O000159,C00133,2025-12-28,配達完了,モバイルアプリ,クレジットカード,東京都,,43.3,0.0,5.9,49.2
281,C00133,2025-02-26,田中 結菜,customer00133@example.jp,東京都,世田谷区,中小企業,自然検索,シルバー,有,300～500万円,O000176,C00133,2025-01-11,配達完了,ウェブ,クレジットカード,東京都,,1425.31,0.0,0.0,1425.31
282,C00133,2025-02-26,田中 結菜,customer00133@example.jp,東京都,世田谷区,中小企業,自然検索,シルバー,有,300～500万円,O000380,C00133,2024-09-20,配達完了,ウェブ,コンビニ払い,東京都,,854.23,0.0,0.0,854.23
283,C00133,2025-02-26,田中 結菜,customer00133@example.jp,東京都,世田谷区,中小企業,自然検索,シルバー,有,300～500万円,O000386,C00133,2025-04-06,処理中,営業担当,請求書払い,東京都,WELCOME10,1275.49,127.55,0.0,1147.94
284,C00133,2025-02-26,田中 結菜,customer00133@example.jp,東京都,世田谷区,中小企業,自然検索,シルバー,有,300～500万円,O000480,C00133,2025-08-26,キャンセル,ウェブ,請求書払い,東京都,WELCOME10,1445.81,144.58,0.0,1301.23
285,C00133,2025-02-26,田中 結菜,customer00133@example.jp,東京都,世田谷区,中小企業,自然検索,シルバー,有,300～500万円,O000663,C00133,2025-10-25,配達完了,ウェブ,請求書払い,東京都,B2B5,555.49,27.77,0.0,527.72
286,C00134,2022-03-25,田中 大和,customer00134@example.jp,大阪府,吹田市,個人,広告検索,ゴールド,有,500～800万円,O000409,C00134,2024-11-11,配達完了,ウェブ,スマホ決済,大阪府,,803.75,0.0,0.0,803.75
287,C00134,2022-03-25,田中 大和,customer00134@example.jp,大阪府,吹田市,個人,広告検索,ゴールド,有,500～800万円,O000528,C00134,2024-07-23,発送済み,ウェブ,スマホ決済,大阪府,FREESHIP,973.94,0.0,0.0,973.94
288,C00134,2022-03-25,田中 大和,customer00134@example.jp,大阪府,吹田市,個人,広告検索,ゴールド,有,500～800万円,O000704,C00134,2025-09-18,配達完了,ウェブ,銀行振込,大阪府,FREESHIP,295.89,0.0,0.0,295.89
289,C00135,2022-02-17,渡辺 湊,customer00135@example.jp,神奈川県,横浜市,個人,自然検索,ブロンズ,無,500～800万円,,,,,,,,,,,,
290,C00136,2024-11-26,渡辺 悠真,customer00136@example.jp,千葉県,柏市,個人,広告検索,シルバー,有,500～800万円,O000053,C00136,2024-09-11,配達完了,ウェブ,スマホ決済,千葉県,,268.53,0.0,0.0,268.53
291,C00136,2024-11-26,渡辺 悠真,customer00136@example.jp,千葉県,柏市,個人,広告検索,シルバー,有,500～800万円,O000129,C00136,2024-09-07,配達完了,ウェブ,コンビニ払い,千葉県,,77.66,0.0,5.9,83.56
292,C00136,2024-11-26,渡辺 悠真,customer00136@example.jp,千葉県,柏市,個人,広告検索,シルバー,有,500～800万円,O000406,C00136,2025-02-17,発送済み,ウェブ,コンビニ払い,千葉県,SPRING15,282.34,42.35,0.0,239.99
293,C00136,2024-11-26,渡辺 悠真,customer00136@example.jp,千葉県,柏市,個人,広告検索,シルバー,有,500～800万円,O000629,C00136,2024-12-02,配達完了,モバイルアプリ,クレジットカード,千葉県,,87.77,0.0,5.9,93.67
294,C00137,2024-03-05,中村 大和,customer00137@example.jp,愛知県,岡崎市,個人,SNS,ブロンズ,無,300～500万円,O000557,C00137,2024-05-11,配達完了,モバイルアプリ,銀行振込,愛知県,SPRING15,197.56,29.63,0.0,167.93
295,C00138,2023-02-04,山本 陽翔,customer00138@example.jp,東京都,渋谷区,中小企業,広告検索,ブロンズ,無,300万円未満,,,,,,,,,,,,
296,C00139,2024-09-18,佐藤 凛,customer00139@example.jp,千葉県,千葉市,中小企業,広告検索,ブロンズ,有,500～800万円,O000473,C00139,2025-11-28,配達完了,ウェブ,クレジットカード,千葉県,FREESHIP,1154.57,0.0,0.0,1154.57
297,C00139,2024-09-18,佐藤 凛,customer00139@example.jp,千葉県,千葉市,中小企業,広告検索,ブロンズ,有,500～800万円,O000516,C00139,2025-12-22,配達完了,モール,スマホ決済,千葉県,SPRING15,279.42,41.91,0.0,237.51
298,C00140,2022-07-06,佐藤 樹,customer00140@example.jp,愛知県,名古屋市,大企業,SNS,シルバー,有,"800～1,200万円",O000038,C00140,2025-09-02,配達完了,モバイルアプリ,クレジットカード,愛知県,VIP20,1186.02,237.2,0.0,948.82
299,C00140,2022-07-06,佐藤 樹,customer00140@example.jp,愛知県,名古屋市,大企業,SNS,シルバー,有,"800～1,200万円",O000694,C00140,2025-11-14,配達完了,営業担当,クレジットカード,愛知県,,593.56,0.0,0.0,593.56
300,C00141,2022-09-21,高橋 陽翔,customer00141@example.jp,東京都,渋谷区,個人,広告検索,ブロンズ,有,"1,200万円以上",O000219,C00141,2024-05-24,配達完了,ウェブ,クレジットカード,東京都,,267.41,0.0,0.0,267.41
301,C00142,2023-03-30,山本 葵,customer00142@example.jp,東京都,新宿区,個人,自然検索,ブロンズ,無,300万円未満,,,,,,,,,,,,
302,C00143,2025-10-18,山本 大和,customer00143@example.jp,愛知県,岡崎市,個人,SNS,ゴールド,有,"1,200万円以上",O000024,C00143,2025-08-20,発送済み,ウェブ,クレジットカード,愛知県,,431.46,0.0,0.0,431.46
303,C00143,2025-10-18,山本 大和,customer00143@example.jp,愛知県,岡崎市,個人,SNS,ゴールド,有,"1,200万円以上",O000419,C00143,2024-02-12,配達完了,モバイルアプリ,スマホ決済,愛知県,SPRING15,1112.02,166.8,0.0,945.22
304,C00143,2025-10-18,山本 大和,customer00143@example.jp,愛知県,岡崎市,個人,SNS,ゴールド,有,"1,200万円以上",O000610,C00143,2025-08-18,配達完了,ウェブ,クレジットカード,愛知県,WELCOME10,1247.42,124.74,0.0,1122.68
305,C00144,2024-06-20,鈴木 陽葵,customer00144@example.jp,大阪府,吹田市,個人,提携先,シルバー,有,"800～1,200万円",O000137,C00144,2025-07-22,配達完了,モバイルアプリ,クレジットカード,大阪府,WELCOME10,1245.57,124.56,0.0,1121.01
306,C00144,2024-06-20,鈴木 陽葵,customer00144@example.jp,大阪府,吹田市,個人,提携先,シルバー,有,"800～1,200万円",O000613,C00144,2025-06-27,配達完了,モバイルアプリ,クレジットカード,大阪府,VIP20,217.97,43.59,0.0,174.38
307,C00145,2022-10-14,伊藤 さくら,customer00145@example.jp,神奈川県,横浜市,中小企業,自然検索,シルバー,有,500～800万円,O000226,C00145,2025-08-22,配達完了,ウェブ,クレジットカード,神奈川県,SPRING15,1034.35,155.15,0.0,879.2
308,C00145,2022-10-14,伊藤 さくら,customer00145@example.jp,神奈川県,横浜市,中小企業,自然検索,シルバー,有,500～800万円,O000276,C00145,2025-09-10,配達完了,ウェブ,銀行振込,神奈川県,,115.86,0.0,5.9,121.76
309,C00146,2023-12-25,田中 大和,customer00146@example.jp,福岡県,福岡市,中小企業,紹介,プラチナ,有,500～800万円,O000416,C00146,2024-10-14,配達完了,モバイルアプリ,スマホ決済,福岡県,,903.39,0.0,0.0,903.39
310,C00147,2024-01-22,伊藤 悠真,customer00147@example.jp,千葉県,船橋市,個人,SNS,ブロンズ,有,300万円未満,O000397,C00147,2024-09-07,配達完了,モバイルアプリ,スマホ決済,千葉県,WELCOME10,1380.73,138.07,0.0,1242.66
